Date,basin,SWSI
1981-06-01,Gunnison,-1.4
1981-06-01,Colorado,-1
1981-06-01,South_Platte,2
1981-06-01,Yampa_White_N_Platte,-2
1981-06-01,Arkansas,0
1981-06-01,Rio_Grande,-1.5
1981-06-01,San_Juan,-1.3
1981-07-01,Gunnison,-2.7
1981-07-01,Colorado,-2.6
1981-07-01,South_Platte,1.4
1981-07-01,Yampa_White_N_Platte,-2.1
1981-07-01,Arkansas,0.1
1981-07-01,Rio_Grande,-1.3
1981-07-01,San_Juan,-0.9
1981-08-01,Gunnison,-2.5
1981-08-01,Colorado,-2.8
1981-08-01,South_Platte,-2.1
1981-08-01,Yampa_White_N_Platte,-1.9
1981-08-01,Arkansas,-0.8
1981-08-01,Rio_Grande,-2.2
1981-08-01,San_Juan,-0.9
1981-09-01,Gunnison,-3.2
1981-09-01,Colorado,-2.6
1981-09-01,South_Platte,-1.7
1981-09-01,Yampa_White_N_Platte,-3.3
1981-09-01,Arkansas,0.1
1981-09-01,Rio_Grande,-2
1981-09-01,San_Juan,-1.6
1981-10-01,Gunnison,-2.3
1981-10-01,Colorado,-0.7
1981-10-01,South_Platte,-1.9
1981-10-01,Yampa_White_N_Platte,-2.6
1981-10-01,Arkansas,1.8
1981-10-01,Rio_Grande,0.1
1981-10-01,San_Juan,0.1
1981-11-01,Gunnison,-1.1
1981-11-01,Colorado,-1.3
1981-11-01,South_Platte,0.5
1981-11-01,Yampa_White_N_Platte,-1.7
1981-11-01,Arkansas,0.8
1981-11-01,Rio_Grande,2.6
1981-11-01,San_Juan,1.9
1981-12-01,Gunnison,0.5
1981-12-01,Colorado,-0.2
1981-12-01,South_Platte,-1.5
1981-12-01,Yampa_White_N_Platte,0
1981-12-01,Arkansas,0.8
1981-12-01,Rio_Grande,-1.2
1981-12-01,San_Juan,0.3
1982-01-01,Gunnison,1.3
1982-01-01,Colorado,1.6
1982-01-01,South_Platte,0.1
1982-01-01,Yampa_White_N_Platte,3.6
1982-01-01,Arkansas,1.3
1982-01-01,Rio_Grande,0.8
1982-01-01,San_Juan,-0.8
1982-02-01,Gunnison,2
1982-02-01,Colorado,2
1982-02-01,South_Platte,1.8
1982-02-01,Yampa_White_N_Platte,3.2
1982-02-01,Arkansas,2
1982-02-01,Rio_Grande,0.97
1982-02-01,San_Juan,1.3
1982-03-01,Gunnison,1.2
1982-03-01,Colorado,0.7
1982-03-01,South_Platte,-0.3
1982-03-01,Yampa_White_N_Platte,1.1
1982-03-01,Arkansas,1
1982-03-01,Rio_Grande,0.9
1982-03-01,San_Juan,1
1982-04-01,Gunnison,2
1982-04-01,Colorado,0.8
1982-04-01,South_Platte,-0.5
1982-04-01,Yampa_White_N_Platte,2
1982-04-01,Arkansas,0.9
1982-04-01,Rio_Grande,2.4
1982-04-01,San_Juan,2.2
1982-05-01,Gunnison,1.8
1982-05-01,Colorado,0.4
1982-05-01,South_Platte,-1
1982-05-01,Yampa_White_N_Platte,1.6
1982-05-01,Arkansas,0.7
1982-05-01,Rio_Grande,1.9
1982-05-01,San_Juan,1.8
