abbrev,meas_date,Streamflow Value,Streamflow Meas Units,Streamflow Review Status,Streamflow Data Source,
"AZOTUNNM","12/03/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/04/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/05/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/06/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/07/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/08/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/09/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/10/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/11/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/12/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/13/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/14/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/15/1985","","","","",
"AZOTUNNM","12/16/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/17/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/18/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/19/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/20/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/21/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/22/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/23/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/24/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/25/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/26/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/27/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/28/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/29/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/30/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","12/31/1985","0.000000","cfs","O","DWR",
"AZOTUNNM","01/01/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/02/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/03/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/04/1986","","","","",
"AZOTUNNM","01/05/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/06/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/07/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/08/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/09/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/10/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/11/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/12/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/13/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/14/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/15/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/16/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/17/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/18/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/19/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/20/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/21/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/22/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/23/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/24/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/25/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/26/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/27/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/28/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/29/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/30/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","01/31/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/01/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/02/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/03/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/04/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/05/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/06/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/07/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/08/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/09/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/10/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/11/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/12/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/13/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/14/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/15/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/16/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/17/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/18/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/19/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/20/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/21/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/22/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/23/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/24/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/25/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/26/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/27/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","02/28/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/01/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/02/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/03/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/04/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/05/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/06/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/07/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/08/1986","0.000000","cfs","O","DWR",
"AZOTUNNM","03/09/1986","0.026000","cfs","O","DWR",
"AZOTUNNM","03/10/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/11/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/12/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/13/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/14/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/15/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/16/1986","0.033000","cfs","O","DWR",
"AZOTUNNM","03/17/1986","0.031000","cfs","O","DWR",
"AZOTUNNM","03/18/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/19/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/20/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/21/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/22/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/23/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/24/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/25/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/26/1986","0.030000","cfs","O","DWR",
"AZOTUNNM","03/27/1986","28.521000","cfs","O","DWR",
"AZOTUNNM","03/28/1986","112.767998","cfs","O","DWR",
"AZOTUNNM","03/29/1986","175.957993","cfs","O","DWR",
"AZOTUNNM","03/30/1986","208.281006","cfs","O","DWR",
"AZOTUNNM","03/31/1986","211.490005","cfs","O","DWR",
"AZOTUNNM","04/01/1986","230.462006","cfs","O","DWR",
"AZOTUNNM","04/02/1986","313.000000","cfs","O","DWR",
"AZOTUNNM","04/03/1986","183.863007","cfs","O","DWR",
"AZOTUNNM","04/04/1986","116.262001","cfs","O","DWR",
"AZOTUNNM","04/05/1986","94.424004","cfs","O","DWR",
"AZOTUNNM","04/06/1986","152.011993","cfs","O","DWR",
"AZOTUNNM","04/07/1986","210.250000","cfs","O","DWR",
"AZOTUNNM","04/08/1986","189.343994","cfs","O","DWR",
"AZOTUNNM","04/09/1986","170.104004","cfs","O","DWR",
"AZOTUNNM","04/10/1986","167.375000","cfs","O","DWR",
"AZOTUNNM","04/11/1986","204.509995","cfs","O","DWR",
"AZOTUNNM","04/12/1986","252.125000","cfs","O","DWR",
"AZOTUNNM","04/13/1986","264.552002","cfs","O","DWR",
"AZOTUNNM","04/14/1986","195.384995","cfs","O","DWR",
"AZOTUNNM","04/15/1986","190.875000","cfs","O","DWR",
"AZOTUNNM","04/16/1986","245.197998","cfs","O","DWR",
"AZOTUNNM","04/17/1986","246.145996","cfs","O","DWR",
"AZOTUNNM","04/18/1986","189.322998","cfs","O","DWR",
"AZOTUNNM","04/19/1986","156.479004","cfs","O","DWR",
"AZOTUNNM","04/20/1986","185.082993","cfs","O","DWR",
"AZOTUNNM","04/21/1986","322.895996","cfs","O","DWR",
"AZOTUNNM","04/22/1986","473.989990","cfs","O","DWR",
"AZOTUNNM","04/23/1986","530.302002","cfs","O","DWR",
"AZOTUNNM","04/24/1986","525.385010","cfs","O","DWR",
"AZOTUNNM","04/25/1986","468.135010","cfs","O","DWR",
"AZOTUNNM","04/26/1986","467.457001","cfs","O","DWR",
"AZOTUNNM","04/27/1986","368.109009","cfs","O","DWR",
"AZOTUNNM","04/28/1986","359.937988","cfs","O","DWR",
"AZOTUNNM","04/29/1986","449.000000","cfs","O","DWR",
"AZOTUNNM","04/30/1986","575.593994","cfs","O","DWR",
"AZOTUNNM","05/01/1986","530.062988","cfs","O","DWR",
"AZOTUNNM","05/02/1986","318.625000","cfs","O","DWR",
"AZOTUNNM","05/03/1986","327.489990","cfs","O","DWR",
"AZOTUNNM","05/04/1986","329.718994","cfs","O","DWR",
"AZOTUNNM","05/05/1986","319.912994","cfs","O","DWR",
"AZOTUNNM","05/06/1986","305.166992","cfs","O","DWR",
"AZOTUNNM","05/07/1986","287.020996","cfs","O","DWR",
"AZOTUNNM","05/08/1986","270.927002","cfs","O","DWR",
"AZOTUNNM","05/09/1986","268.322998","cfs","O","DWR",
"AZOTUNNM","05/10/1986","241.052002","cfs","O","DWR",
"AZOTUNNM","05/11/1986","227.875000","cfs","O","DWR",
