WDID,WDID Account ID,Structure Name,WDID Account Name,Source Code,Source Descr,From WDID,From WDID Account,From Structure,From WDID Account Name,Use Code,Use Descr,Type Code,Type Descr,Group WDID,Group Structure,To WDID,To WDID Account ID,To Structure Name,To WDID Account Name,Description,Water Class,Meas Interval,Aggregation Interval,Date,Amount,Obs Code,Units,Data Status,Modified,
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2022 00:00","0","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2022 00:00","12106.81","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2022 00:00","30877.22","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2022 00:00","24117.38","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2022 00:00","5472.48","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2022 00:00","20033.35","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2022 00:00","2921.85","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2022 00:00","13713.3","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2022 00:00","29063.45","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2022 00:00","31321.45","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2021 00:00","22003.6","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2021 00:00","2351.6","K","AF","Provisional","02/04/2023 18:57",
"5104634","","CBT ALVA B ADAMS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2021 00:00","16448.65","C","AF","Approved","05/04/2022 10:54",
