Basin,HUC8,HUC8 Name,Report Year,Report Month,Component Type,Component ID,Component Name,Component Volume,Component NEP
Arkansas,11020001,Arkansas Headwaters,2010,10,ReservoirStorage,07007020,CLEAR CREEK RESERVOIR,6500.00,61.19
Arkansas,11020001,Arkansas Headwaters,2010,10,ReservoirStorage,07007110,TURQUOISE LAKE,112903.00,50.27
Arkansas,11020001,Arkansas Headwaters,2010,10,ReservoirStorage,07007120,TWIN LAKES RESERVOIR,62469.00,66.62
Arkansas,11020001,Arkansas Headwaters,2010,10,ReservoirStorage,09009040,HOMESTAKE RESERVOIR,37294.00,54.98
Arkansas,11020002,Upper Arkansas,2010,10,ReservoirStorage,07007090,PUEBLO RESERVOIR,184750.00,75.08
Arkansas,11020005,Upper Arkansas-Lake Meredith,2010,10,ReservoirStorage,07007070,MEREDITH RESERVOIR,27490.00,70.44
Arkansas,11020005,Upper Arkansas-Lake Meredith,2010,10,ReservoirStorage,07007130,LAKE HENRY,6142.00,92.08
Arkansas,11020006,Huerfano,2010,10,ReservoirStorage,07007030,CUCHARAS RESERVOIR,0.00,17.66
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2010,10,ReservoirStorage,07007010,ADOBE CREEK RESERVOIR,10842.00,52.25
Arkansas,11020009,Upper Arkansas-John Martin Reservoir,2010,10,ReservoirStorage,07007060,JOHN MARTIN RESERVOIR,27100.00,58.08
Arkansas,11020010,Purgatoire,2010,10,ReservoirStorage,07007100,TRINIDAD LAKE,13300.00,43.78
Colorado,14010001,Colorado Headwaters,2010,10,ReservoirStorage,09009150,WILLIAMS FORK RESERVOIR,86400.00,78.93
Colorado,14010001,Colorado Headwaters,2010,10,ReservoirStorage,09041395,WOLFORD MOUNTAIN RESERVOIR,55600.00,92.77
Colorado,14010002,Blue,2010,10,ReservoirStorage,09009030,GREEN MOUNTAIN RESERVOIR,102700.00,29.44
Colorado,14010004,Roaring Fork,2010,10,ReservoirStorage,09009110,RUEDI RESERVOIR,78690.41,9.21
Colorado,14010005,Colorado Headwaters-Plateau,2010,10,ReservoirStorage,09009140,VEGA RESERVOIR,9000.00,47.51
Gunnison,14020001,East-Taylor,2010,10,ReservoirStorage,09009120,TAYLOR PARK RESERVOIR,72419.00,42.25
