abbrev,Date Time,DISCHRG Value,DISCHRG Units,DISCHRG Review Status,DISCHRG Observation Flag,DISCHRG Modified,
"BOCBGRCO","=""09/12/1986 00:00""","146","cfs","","","=""09/12/1986 20:00""",
"BOCBGRCO","=""09/13/1986 00:00""","146","cfs","","","=""09/13/1986 16:00""",
"BOCBGRCO","=""09/14/1986 00:00""","146","cfs","","","=""09/14/1986 20:00""",
"BOCBGRCO","=""09/15/1986 00:00""","146","cfs","","","=""09/15/1986 20:00""",
"BOCBGRCO","=""09/16/1986 00:00""","145","cfs","","","=""09/16/1986 20:00""",
"BOCBGRCO","=""09/17/1986 00:00""","145","cfs","","","=""09/17/1986 20:00""",
"BOCBGRCO","=""09/18/1986 00:00""","116","cfs","","","=""09/18/1986 20:00""",
"BOCBGRCO","=""09/19/1986 00:00""","94.7","cfs","","","=""09/19/1986 20:00""",
"BOCBGRCO","=""09/20/1986 00:00""","94.7","cfs","","","=""09/20/1986 20:00""",
"BOCBGRCO","=""09/21/1986 00:00""","94.7","cfs","","","=""09/21/1986 20:00""",
"BOCBGRCO","=""09/22/1986 00:00""","94.7","cfs","","","=""09/22/1986 20:00""",
"BOCBGRCO","=""09/23/1986 00:00""","94.7","cfs","","","=""09/23/1986 20:00""",
"BOCBGRCO","=""09/24/1986 00:00""","94.9","cfs","","","=""09/24/1986 20:00""",
"BOCBGRCO","=""09/25/1986 00:00""","94.7","cfs","","Obs*","=""09/25/1986 20:00""",
"BOCBGRCO","=""09/26/1986 00:00""","94.7","cfs","","","=""09/26/1986 20:00""",
"BOCBGRCO","=""09/27/1986 00:00""","94.7","cfs","","","=""09/27/1986 20:00""",
"BOCBGRCO","=""09/28/1986 00:00""","94.7","cfs","","","=""09/28/1986 20:00""",
"BOCBGRCO","=""09/29/1986 00:00""","94.7","cfs","","","=""09/29/1986 20:00""",
"BOCBGRCO","=""09/30/1986 00:00""","94.7","cfs","","","=""09/30/1986 20:00""",
"BOCBGRCO","=""10/01/1986 00:00""","93.2","cfs","","","=""10/01/1986 20:00""",
"BOCBGRCO","=""10/02/1986 00:00""","94.7","cfs","","","=""10/02/1986 20:00""",
"BOCBGRCO","=""10/03/1986 00:00""","97.7","cfs","","","=""10/03/1986 20:00""",
"BOCBGRCO","=""10/04/1986 00:00""","97.7","cfs","","","=""10/04/1986 20:00""",
"BOCBGRCO","=""10/05/1986 00:00""","97.7","cfs","","","=""10/05/1986 20:00""",
"BOCBGRCO","=""10/06/1986 00:00""","97.7","cfs","","","=""10/06/1986 20:00""",
"BOCBGRCO","=""10/07/1986 00:00""","97.7","cfs","","","=""10/07/1986 20:00""",
"BOCBGRCO","=""10/08/1986 00:00""","90","cfs","","","=""10/08/1986 20:00""",
"BOCBGRCO","=""10/09/1986 00:00""","84.5","cfs","","","=""10/09/1986 20:00""",
"BOCBGRCO","=""10/10/1986 00:00""","84.4","cfs","","","=""10/10/1986 20:00""",
"BOCBGRCO","=""10/11/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/12/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/13/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/14/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/15/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/16/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/17/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/18/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/19/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/20/1986 00:00""","","cfs","","","",
"BOCBGRCO","=""10/21/1986 00:00""","21.9","cfs","","","=""10/21/1986 23:45""",
"BOCBGRCO","=""10/22/1986 00:00""","26.4","cfs","","","=""10/22/1986 23:45""",
"BOCBGRCO","=""10/23/1986 00:00""","26.8","cfs","","","=""10/23/1986 23:45""",
"BOCBGRCO","=""10/24/1986 00:00""","27.3","cfs","","","=""10/24/1986 23:45""",
