WDID,WDID Account ID,Structure Name,WDID Account Name,Source Code,Source Descr,From WDID,From WDID Account,From Structure,From WDID Account Name,Use Code,Use Descr,Type Code,Type Descr,Group WDID,Group Structure,To WDID,To WDID Account ID,To Structure Name,To WDID Account Name,Description,Water Class,Meas Interval,Aggregation Interval,Date,Amount,Obs Code,Units,Data Status,Modified,
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2022 00:00","2468.06","*","AF","Provisional","02/06/2023 16:46",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2022 00:00","16219.58","*","AF","Provisional","02/06/2023 16:46",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2022 00:00","15130.34","*","AF","Provisional","02/06/2023 16:46",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2022 00:00","24513.62","*","AF","Provisional","02/06/2023 16:46",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2022 00:00","14661.37","*","AF","Provisional","02/06/2023 16:46",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2022 00:00","11945.58","*","AF","Provisional","02/06/2023 09:03",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2022 00:00","2415.51","*","AF","Provisional","02/06/2023 09:03",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2021 00:00","98.25","*","AF","Provisional","02/06/2023 09:03",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2021 00:00","8721.41","*","AF","Provisional","02/06/2023 09:03",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2021 00:00","11191.15","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2021 00:00","22949.66","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2021 00:00","17531.74","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2021 00:00","7641.02","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2021 00:00","1815.67","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2021 00:00","777.31","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2021 00:00","6792.53","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2021 00:00","7970.86","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2021 00:00","9232.12","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2020 00:00","9090.46","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2020 00:00","7997.14","*","AF","Approved","06/03/2022 13:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2020 00:00","9606.16","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2020 00:00","339.94","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2020 00:00","10407.94","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2020 00:00","22946.45","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2020 00:00","15876","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2020 00:00","2293.57","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2019 00:00","75.19","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2019 00:00","5355.34","*","AF","Approved","04/20/2021 14:15",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2019 00:00","8939.67","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2019 00:00","14737.32","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2019 00:00","3410.49","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2019 00:00","1469.05","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2019 00:00","3000.85","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2019 00:00","3209.45","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2018 00:00","3416.03","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2018 00:00","6644.28","*","AF","Approved","04/07/2020 09:45",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2018 00:00","12002.16","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2018 00:00","21614.2","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2018 00:00","15705.35","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2018 00:00","16169.49","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2018 00:00","18621.1","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2018 00:00","11609.43","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2018 00:00","7334.98","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2018 00:00","1588.78","*","AF","Approved","04/18/2019 11:31",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2017 00:00","201.37","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2017 00:00","11852.53","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2017 00:00","7326.38","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2017 00:00","13101.61","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2017 00:00","11239.38","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2017 00:00","5599.47","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2017 00:00","7760.81","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2017 00:00","7112.01","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2017 00:00","5078.6","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2017 00:00","4956.57","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2016 00:00","5649.21","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2016 00:00","5819.53","*","AF","Approved","03/09/2018 09:00",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2016 00:00","6358.45","*","AF","Approved","12/07/2017 14:05",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2016 00:00","2791.58","*","AF","Approved","12/07/2017 14:05",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2016 00:00","13244.78","*","AF","Approved","12/07/2017 14:05",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2016 00:00","10240.87","*","AF","Approved","12/07/2017 14:05",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2016 00:00","225.39","*","AF","Approved","12/07/2017 14:05",
"8000653","","ROBERTS TUNNEL","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2016 00:00","18.74","*","AF","Approved","12/07/2017 14:05",
