"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1991-05-23&before=1999-07-01&filename=Carter%20Lake%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Spillway-cfs%20Time%20Series%20Data%20%281991-05-23%20-%201999-07-01%29&itemId=11&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Carter Lake Reservoir and Dam ","CO","(-105.2119, 40.3242)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","46.31","cfs","daily","average","1991-05-23 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","61.02","cfs","daily","average","1991-05-24 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","61.36","cfs","daily","average","1991-05-25 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","61.02","cfs","daily","average","1991-05-26 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","61.02","cfs","daily","average","1991-05-27 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","47.42","cfs","daily","average","1991-05-28 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","40.94","cfs","daily","average","1991-05-29 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","40.89","cfs","daily","average","1991-05-30 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","40.87","cfs","daily","average","1991-05-31 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","44.81","cfs","daily","average","1991-06-01 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","46.48","cfs","daily","average","1991-06-02 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","30.81","cfs","daily","average","1991-06-03 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","23.96","cfs","daily","average","1991-06-04 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.98","cfs","daily","average","1991-06-05 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.99","cfs","daily","average","1991-06-06 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","25.02","cfs","daily","average","1991-06-07 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","25","cfs","daily","average","1991-06-08 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.92","cfs","daily","average","1991-06-09 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","25","cfs","daily","average","1991-06-10 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.95","cfs","daily","average","1991-06-11 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","25.04","cfs","daily","average","1991-06-12 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.96","cfs","daily","average","1991-06-13 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.92","cfs","daily","average","1991-06-14 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.95","cfs","daily","average","1991-06-15 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","24.97","cfs","daily","average","1991-06-16 19:00:00"
"Carter Lake Reservoir and Dam ","Lake/Reservoir Release - Total","27.44","cfs","daily","average","1991-06-17 19:00:00"
