"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2015-02-15&before=2023-03-15&filename=Flatiron%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%282015-02-15%20-%202023-03-15%29&itemId=346&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Flatiron Reservoir and Dam","CO","(-105.2361, 40.365)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","334.74","cfs","daily","average","2015-02-15 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","312.03","cfs","daily","average","2015-02-16 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","241.47","cfs","daily","average","2015-02-17 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","241.12","cfs","daily","average","2015-02-18 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","238.1","cfs","daily","average","2015-02-19 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","221.83","cfs","daily","average","2015-02-20 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","213.07","cfs","daily","average","2015-02-21 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","213.66","cfs","daily","average","2015-02-22 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","215.64","cfs","daily","average","2015-02-23 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","217.57","cfs","daily","average","2015-02-24 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","215.62","cfs","daily","average","2015-02-25 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","213.9","cfs","daily","average","2015-02-26 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","210.4","cfs","daily","average","2015-02-27 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","208.92","cfs","daily","average","2015-02-28 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","211.24","cfs","daily","average","2015-03-01 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","207.22","cfs","daily","average","2015-03-02 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","211.23","cfs","daily","average","2015-03-03 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","230.13","cfs","daily","average","2015-03-04 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","238.41","cfs","daily","average","2015-03-05 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","235.94","cfs","daily","average","2015-03-06 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","236.76","cfs","daily","average","2015-03-07 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","236.28","cfs","daily","average","2015-03-08 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","214.28","cfs","daily","average","2015-03-09 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","210.95","cfs","daily","average","2015-03-10 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","210.94","cfs","daily","average","2015-03-11 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","229.41","cfs","daily","average","2015-03-12 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","243.59","cfs","daily","average","2015-03-13 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","250.92","cfs","daily","average","2015-03-14 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","231.4","cfs","daily","average","2015-03-15 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","221.57","cfs","daily","average","2015-03-16 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","219.4","cfs","daily","average","2015-03-17 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","220.94","cfs","daily","average","2015-03-18 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","240.04","cfs","daily","average","2015-03-19 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","242.23","cfs","daily","average","2015-03-20 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","242.7","cfs","daily","average","2015-03-21 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","242.27","cfs","daily","average","2015-03-22 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","262.78","cfs","daily","average","2015-03-23 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","262.82","cfs","daily","average","2015-03-24 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","266.95","cfs","daily","average","2015-03-25 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","268.56","cfs","daily","average","2015-03-26 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","267.49","cfs","daily","average","2015-03-27 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","249.88","cfs","daily","average","2015-03-28 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","250.17","cfs","daily","average","2015-03-29 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","248.92","cfs","daily","average","2015-03-30 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","250","cfs","daily","average","2015-03-31 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","2015-04-08 19:00:00"
"Flatiron Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","2015-04-09 19:00:00"
