"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1985-10-01&before=2023-03-15&filename=Green%20Mountain%20Reservoir%20Dam%20and%20Powerplant%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281985-10-01%20-%202023-03-15%29&itemId=23&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Green Mountain Reservoir Dam and Powerplant","CO","(-106.3133, 39.8789)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","408","cfs","daily","average","1985-10-01 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","225","cfs","daily","average","1985-10-02 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","216","cfs","daily","average","1985-10-03 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","225","cfs","daily","average","1985-10-04 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","225","cfs","daily","average","1985-10-05 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","222","cfs","daily","average","1985-10-06 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","182","cfs","daily","average","1985-10-07 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","102","cfs","daily","average","1985-10-08 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","167","cfs","daily","average","1985-10-09 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","494","cfs","daily","average","1985-10-10 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","606","cfs","daily","average","1985-10-11 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","604","cfs","daily","average","1985-10-12 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","604","cfs","daily","average","1985-10-13 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","607","cfs","daily","average","1985-10-14 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","429","cfs","daily","average","1985-10-15 19:00:00"
"Green Mountain Reservoir Dam and Powerplant","Lake/Reservoir Release - Total","105","cfs","daily","average","1985-10-16 19:00:00"
