"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2009-01-01&before=2023-03-14&filename=Heron%20Reservoir%20and%20Dam%20Daily%20Average%20San%20Juan%20Chama%20Inflow%20Volume-af%20Time%20Series%20Data%20%282009-01-01%20-%202023-03-14%29&itemId=4503&order=ASC&type=csv","","","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","","","",""
"#LOCATION INFORMATION#","","","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","","","",""
"Heron Reservoir and Dam","NM","(-106.6992, 36.6973)","MT","Lake/Reservoir","","","",""
"","","","","","","","",""
"#SERIES DATA#","","","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)","timeStep","resultType"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-29 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-30 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-01-31 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","5.9979","af","daily","sum","2009-02-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","7.9774","af","daily","sum","2009-02-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","4.98835","af","daily","sum","2009-02-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","3.9986","af","daily","sum","2009-02-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","7.9774","af","daily","sum","2009-02-16 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","7.9774","af","daily","sum","2009-02-17 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-18 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","0","af","daily","sum","2009-02-19 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","5.9979","af","daily","sum","2009-02-20 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","5.9979","af","daily","sum","2009-02-21 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","6.98765","af","daily","sum","2009-02-22 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","9.9767","af","daily","sum","2009-02-23 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","17.9541","af","daily","sum","2009-02-24 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","43.9054","af","daily","sum","2009-02-25 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","53.9019","af","daily","sum","2009-02-26 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","49.9033","af","daily","sum","2009-02-27 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","37.9273","af","daily","sum","2009-02-28 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","39.9266","af","daily","sum","2009-03-01 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","56.8909","af","daily","sum","2009-03-02 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","81.836","af","daily","sum","2009-03-03 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","66.866","af","daily","sum","2009-03-04 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","63.872","af","daily","sum","2009-03-05 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","63.872","af","daily","sum","2009-03-06 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","54.89","af","daily","sum","2009-03-07 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","35.928","af","daily","sum","2009-03-08 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","45.908","af","daily","sum","2009-03-09 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","39.92","af","daily","sum","2009-03-10 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","31.936","af","daily","sum","2009-03-11 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","53.892","af","daily","sum","2009-03-12 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","55.888","af","daily","sum","2009-03-13 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","44.91","af","daily","sum","2009-03-14 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","57.884","af","daily","sum","2009-03-15 07:00:00","day","observed"
"Heron Reservoir and Dam","Average San Juan Chama Inflow Volume","78.842","af","daily","sum","2009-03-16 07:00:00","day","observed"
