Location;Parameter;Result;Units;Timestep;Aggregation;Datetime (UTC);timeStep;resultType
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;25;cfs;daily;average;1/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;10;cfs;daily;average;1/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;1/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;2/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;24;cfs;daily;average;2/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;2/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;3/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;3/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;3/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;50;cfs;daily;average;3/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;69;cfs;daily;average;3/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;81;cfs;daily;average;3/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;82;cfs;daily;average;3/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;88;cfs;daily;average;3/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;93;cfs;daily;average;3/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;114;cfs;daily;average;3/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;129;cfs;daily;average;3/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;129;cfs;daily;average;3/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;129;cfs;daily;average;3/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;129;cfs;daily;average;3/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;129;cfs;daily;average;3/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;170;cfs;daily;average;3/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;267;cfs;daily;average;3/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;436;cfs;daily;average;3/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;3/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;3/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;3/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;4/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;4/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;523;cfs;daily;average;4/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;373;cfs;daily;average;4/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;261;cfs;daily;average;4/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;261;cfs;daily;average;4/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;261;cfs;daily;average;4/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;261;cfs;daily;average;4/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;261;cfs;daily;average;4/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;167;cfs;daily;average;4/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;4/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;4/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;4/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;4/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;100;cfs;daily;average;4/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;38;cfs;daily;average;4/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;4/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/4/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/5/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/6/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/7/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/8/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/9/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/10/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/11/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/12/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/13/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/14/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/15/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/16/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/17/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/18/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/19/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/20/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/21/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/22/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/23/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/24/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/25/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/26/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/27/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/28/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/29/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/30/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;5/31/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/1/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/2/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/3/08 7:00;day;observed
Heron Reservoir and Dam;Lake/Reservoir Release - Total;0;cfs;daily;average;6/4/08 7:00;day;observed
