"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1991-01-28&before=2023-03-15&filename=Horsetooth%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281991-01-28%20-%202023-03-15%29&itemId=90&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Horsetooth Reservoir and Dam","CO","(-105.1711, 40.5994)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-01-28 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-01-29 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-01-30 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-01-31 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-01 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-02 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-03 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-04 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-05 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-06 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-07 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-08 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-09 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-10 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-11 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-12 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-13 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-14 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-15 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-16 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-17 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-18 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-19 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-20 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-21 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-22 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-23 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-24 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-25 19:00:00"
"Horsetooth Reservoir and Dam","Lake/Reservoir Release - Total","0","cfs","daily","average","1991-02-26 19:00:00"
