"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2012-02-08&before=2023-03-15&filename=Lake%20Estes%20and%20Olympus%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%282012-02-08%20-%202023-03-15%29&itemId=635&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Lake Estes and Olympus Dam","CO","(-105.4878, 40.373)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","38.11","cfs","daily","average","2012-02-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.76","cfs","daily","average","2012-02-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.26","cfs","daily","average","2012-02-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.3","cfs","daily","average","2012-02-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.43","cfs","daily","average","2012-02-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.61","cfs","daily","average","2012-02-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.73","cfs","daily","average","2012-02-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.81","cfs","daily","average","2012-02-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.61","cfs","daily","average","2012-02-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.27","cfs","daily","average","2012-02-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.98","cfs","daily","average","2012-02-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.62","cfs","daily","average","2012-02-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.6","cfs","daily","average","2012-02-20 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.51","cfs","daily","average","2012-02-21 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.61","cfs","daily","average","2012-02-22 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.44","cfs","daily","average","2012-02-23 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.48","cfs","daily","average","2012-02-24 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.7","cfs","daily","average","2012-02-25 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.26","cfs","daily","average","2012-02-26 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.1","cfs","daily","average","2012-02-27 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.22","cfs","daily","average","2012-02-28 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.54","cfs","daily","average","2012-02-29 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.18","cfs","daily","average","2012-03-01 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.87","cfs","daily","average","2012-03-02 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.27","cfs","daily","average","2012-03-03 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.96","cfs","daily","average","2012-03-04 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.08","cfs","daily","average","2012-03-05 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.06","cfs","daily","average","2012-03-06 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.08","cfs","daily","average","2012-03-07 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21","cfs","daily","average","2012-03-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.9","cfs","daily","average","2012-03-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.9","cfs","daily","average","2012-03-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.02","cfs","daily","average","2012-03-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.06","cfs","daily","average","2012-03-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.48","cfs","daily","average","2012-03-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.59","cfs","daily","average","2012-03-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.91","cfs","daily","average","2012-03-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.4","cfs","daily","average","2012-03-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.3","cfs","daily","average","2012-03-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.36","cfs","daily","average","2012-03-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.14","cfs","daily","average","2012-03-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.36","cfs","daily","average","2012-03-20 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.22","cfs","daily","average","2012-03-21 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.11","cfs","daily","average","2012-03-22 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.9","cfs","daily","average","2012-03-23 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.9","cfs","daily","average","2012-03-24 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","20.95","cfs","daily","average","2012-03-25 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.59","cfs","daily","average","2012-03-26 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.62","cfs","daily","average","2012-03-27 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.45","cfs","daily","average","2012-03-28 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","21.55","cfs","daily","average","2012-03-29 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","39.01","cfs","daily","average","2012-03-30 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","39.59","cfs","daily","average","2012-03-31 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","43.58","cfs","daily","average","2012-04-01 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","44.21","cfs","daily","average","2012-04-02 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","68.9","cfs","daily","average","2012-04-03 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.89","cfs","daily","average","2012-04-04 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","121.78","cfs","daily","average","2012-04-05 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","130.53","cfs","daily","average","2012-04-06 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","119.55","cfs","daily","average","2012-04-07 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","112.79","cfs","daily","average","2012-04-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","113.26","cfs","daily","average","2012-04-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","115.68","cfs","daily","average","2012-04-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","123.07","cfs","daily","average","2012-04-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","132.11","cfs","daily","average","2012-04-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","158.84","cfs","daily","average","2012-04-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","146.5","cfs","daily","average","2012-04-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","132.98","cfs","daily","average","2012-04-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.61","cfs","daily","average","2012-04-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","117.44","cfs","daily","average","2012-04-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","118.24","cfs","daily","average","2012-04-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.21","cfs","daily","average","2012-04-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","118.47","cfs","daily","average","2012-04-20 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","117.55","cfs","daily","average","2012-04-21 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","112.93","cfs","daily","average","2012-04-22 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.94","cfs","daily","average","2012-04-23 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","152.2","cfs","daily","average","2012-04-24 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","183.82","cfs","daily","average","2012-04-25 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","87.77","cfs","daily","average","2012-04-26 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","51.64","cfs","daily","average","2012-04-27 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","51.29","cfs","daily","average","2012-04-28 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","51.95","cfs","daily","average","2012-04-29 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","51.73","cfs","daily","average","2012-04-30 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","72.95","cfs","daily","average","2012-05-01 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","68.63","cfs","daily","average","2012-05-02 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","76.43","cfs","daily","average","2012-05-03 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","89.11","cfs","daily","average","2012-05-04 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","100.54","cfs","daily","average","2012-05-05 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","100.01","cfs","daily","average","2012-05-06 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","99.57","cfs","daily","average","2012-05-07 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","99.41","cfs","daily","average","2012-05-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","90.26","cfs","daily","average","2012-05-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","96.6","cfs","daily","average","2012-05-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","102.07","cfs","daily","average","2012-05-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","103.02","cfs","daily","average","2012-05-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","101.32","cfs","daily","average","2012-05-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","96.05","cfs","daily","average","2012-05-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","87.26","cfs","daily","average","2012-05-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","93.42","cfs","daily","average","2012-05-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.1","cfs","daily","average","2012-05-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.22","cfs","daily","average","2012-05-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.87","cfs","daily","average","2012-05-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.72","cfs","daily","average","2012-05-20 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.12","cfs","daily","average","2012-05-21 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","128","cfs","daily","average","2012-05-22 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","128.41","cfs","daily","average","2012-05-23 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","149.52","cfs","daily","average","2012-05-24 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.1","cfs","daily","average","2012-05-25 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.48","cfs","daily","average","2012-05-26 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.89","cfs","daily","average","2012-05-27 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.58","cfs","daily","average","2012-05-28 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.05","cfs","daily","average","2012-05-29 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.17","cfs","daily","average","2012-05-30 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.89","cfs","daily","average","2012-05-31 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","128.16","cfs","daily","average","2012-06-01 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.67","cfs","daily","average","2012-06-02 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","124.71","cfs","daily","average","2012-06-03 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.24","cfs","daily","average","2012-06-04 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.06","cfs","daily","average","2012-06-05 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.98","cfs","daily","average","2012-06-06 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","128.16","cfs","daily","average","2012-06-07 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.66","cfs","daily","average","2012-06-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","124.44","cfs","daily","average","2012-06-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.98","cfs","daily","average","2012-06-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","139.41","cfs","daily","average","2012-06-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","365.12","cfs","daily","average","2012-06-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","281.79","cfs","daily","average","2012-06-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","135.29","cfs","daily","average","2012-06-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","124.06","cfs","daily","average","2012-06-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","131.81","cfs","daily","average","2012-06-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","187.15","cfs","daily","average","2012-06-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","173.99","cfs","daily","average","2012-06-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","174.46","cfs","daily","average","2012-06-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","453.64","cfs","daily","average","2012-06-20 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","287.02","cfs","daily","average","2012-06-21 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","170.35","cfs","daily","average","2012-06-22 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","155.64","cfs","daily","average","2012-06-23 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","150.63","cfs","daily","average","2012-06-24 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","149.9","cfs","daily","average","2012-06-25 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","146.71","cfs","daily","average","2012-06-26 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","146.35","cfs","daily","average","2012-06-27 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","147.37","cfs","daily","average","2012-06-28 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","162.79","cfs","daily","average","2012-06-29 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","164.74","cfs","daily","average","2012-06-30 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","154.18","cfs","daily","average","2012-07-01 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","139.77","cfs","daily","average","2012-07-02 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","124.73","cfs","daily","average","2012-07-03 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","129.6","cfs","daily","average","2012-07-04 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","123.8","cfs","daily","average","2012-07-05 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.64","cfs","daily","average","2012-07-06 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","216.82","cfs","daily","average","2012-07-07 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","347.49","cfs","daily","average","2012-07-08 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","314.47","cfs","daily","average","2012-07-09 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","235.99","cfs","daily","average","2012-07-10 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","181.68","cfs","daily","average","2012-07-11 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","158.99","cfs","daily","average","2012-07-12 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","163.42","cfs","daily","average","2012-07-13 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","157.45","cfs","daily","average","2012-07-14 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","149.17","cfs","daily","average","2012-07-15 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","145.41","cfs","daily","average","2012-07-16 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","127.87","cfs","daily","average","2012-07-17 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","126.38","cfs","daily","average","2012-07-18 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.41","cfs","daily","average","2012-07-19 19:00:00"
"Lake Estes and Olympus Dam","Lake/Reservoir Release - Total","125.97","cfs","daily","average","2012-07-20 19:00:00"
