"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=2012-02-09&before=2023-03-15&filename=Marys%20Lake%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%282012-02-09%20-%202023-03-15%29&itemId=4225&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Marys Lake","CO","(-105.5343083, 40.3440796)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Marys Lake","Lake/Reservoir Release - Total","291.58","cfs","daily","average","2012-02-09 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","266.73","cfs","daily","average","2012-02-10 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","270.35","cfs","daily","average","2012-02-11 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","269.72","cfs","daily","average","2012-02-12 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","271.07","cfs","daily","average","2012-02-13 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","276.57","cfs","daily","average","2012-02-14 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","236.92","cfs","daily","average","2012-02-15 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","219.86","cfs","daily","average","2012-02-16 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","221.89","cfs","daily","average","2012-02-17 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","242.2","cfs","daily","average","2012-02-18 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","235.97","cfs","daily","average","2012-02-19 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","245.15","cfs","daily","average","2012-02-20 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","246","cfs","daily","average","2012-02-21 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","309.72","cfs","daily","average","2012-02-22 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","234.2","cfs","daily","average","2012-02-23 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","276.63","cfs","daily","average","2012-02-24 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","246.89","cfs","daily","average","2012-02-25 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","238.14","cfs","daily","average","2012-02-26 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","249.64","cfs","daily","average","2012-02-27 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","245.63","cfs","daily","average","2012-02-28 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","273.1","cfs","daily","average","2012-02-29 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","271.69","cfs","daily","average","2012-03-01 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","379.57","cfs","daily","average","2012-03-02 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","471.42","cfs","daily","average","2012-03-03 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","513.35","cfs","daily","average","2012-03-04 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","513.63","cfs","daily","average","2012-03-05 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","523.57","cfs","daily","average","2012-03-06 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","516.58","cfs","daily","average","2012-03-07 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","498.09","cfs","daily","average","2012-03-08 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","501.28","cfs","daily","average","2012-03-09 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","510.64","cfs","daily","average","2012-03-10 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","496.78","cfs","daily","average","2012-03-12 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","494.31","cfs","daily","average","2012-03-13 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","476.81","cfs","daily","average","2012-03-14 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","470.64","cfs","daily","average","2012-03-15 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","479.25","cfs","daily","average","2012-03-16 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","481","cfs","daily","average","2012-03-17 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","468.95","cfs","daily","average","2012-03-18 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","471.16","cfs","daily","average","2012-03-19 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","464.83","cfs","daily","average","2012-03-20 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","458.09","cfs","daily","average","2012-03-21 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","453.83","cfs","daily","average","2012-03-23 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","452.72","cfs","daily","average","2012-03-24 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","453.99","cfs","daily","average","2012-03-25 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","455.78","cfs","daily","average","2012-03-26 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","426.3","cfs","daily","average","2012-03-27 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","331.34","cfs","daily","average","2012-03-28 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","333.63","cfs","daily","average","2012-03-29 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","332.55","cfs","daily","average","2012-03-30 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","332.38","cfs","daily","average","2012-03-31 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","326.28","cfs","daily","average","2012-04-01 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","376.1","cfs","daily","average","2012-04-02 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","419.89","cfs","daily","average","2012-04-03 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","452.08","cfs","daily","average","2012-04-04 19:00:00"
"Marys Lake","Lake/Reservoir Release - Total","533.77","cfs","daily","average","2012-04-05 19:00:00"
