"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1984-10-01&before=2023-03-14&filename=Pueblo%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281984-10-01%20-%202023-03-14%29&itemId=684&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Pueblo Reservoir and Dam","CO","(-104.7181, 38.2597)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","619","cfs","daily","average","1984-10-01 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","575","cfs","daily","average","1984-10-02 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","566","cfs","daily","average","1984-10-03 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1028","cfs","daily","average","1984-10-04 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1580","cfs","daily","average","1984-10-05 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1527","cfs","daily","average","1984-10-06 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","937","cfs","daily","average","1984-10-07 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1017","cfs","daily","average","1984-10-08 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1105","cfs","daily","average","1984-10-09 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1065","cfs","daily","average","1984-10-10 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","919","cfs","daily","average","1984-10-11 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","856","cfs","daily","average","1984-10-12 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","795","cfs","daily","average","1984-10-13 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","755","cfs","daily","average","1984-10-14 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","747","cfs","daily","average","1984-10-15 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","841","cfs","daily","average","1984-10-16 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1296","cfs","daily","average","1984-10-17 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1530","cfs","daily","average","1984-10-18 19:00:00"
"Pueblo Reservoir and Dam","Lake/Reservoir Release - Total","1585","cfs","daily","average","1984-10-19 19:00:00"
