"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1974-01-01&before=2023-03-15&filename=Ruedi%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281974-01-01%20-%202023-03-15%29&itemId=716&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Ruedi Reservoir and Dam ","CO","(-106.818, 39.3639)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-01 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-02 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-03 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-04 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-05 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-06 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-07 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-08 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-09 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-10 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-11 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-12 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-13 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-14 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-15 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-16 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-17 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-18 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-19 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-20 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-21 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-22 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-23 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-24 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-25 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-26 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-27 19:00:00"
"Ruedi Reservoir and Dam ","Lake/Reservoir Release - Total","182","cfs","daily","average","1974-01-28 19:00:00"
