"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1994-11-01&before=2023-03-15&filename=Shadow%20Mountain%20Lake%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281994-11-01%20-%202023-03-15%29&itemId=740&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Shadow Mountain Lake and Dam","CO","(-105.8417, 40.2072)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","507","cfs","daily","average","1994-11-01 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","507","cfs","daily","average","1994-11-02 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","488","cfs","daily","average","1994-11-03 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","475","cfs","daily","average","1994-11-04 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","471","cfs","daily","average","1994-11-05 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","457","cfs","daily","average","1994-11-06 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","443","cfs","daily","average","1994-11-07 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","442","cfs","daily","average","1994-11-08 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","531","cfs","daily","average","1994-11-09 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","551","cfs","daily","average","1994-11-10 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","559","cfs","daily","average","1994-11-11 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","547","cfs","daily","average","1994-11-12 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","540","cfs","daily","average","1994-11-13 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","540","cfs","daily","average","1994-11-14 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","549","cfs","daily","average","1994-11-15 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","550","cfs","daily","average","1994-11-16 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","527","cfs","daily","average","1994-11-17 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","456","cfs","daily","average","1994-11-18 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","459","cfs","daily","average","1994-11-19 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","466","cfs","daily","average","1994-11-20 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","467","cfs","daily","average","1994-11-21 19:00:00"
"Shadow Mountain Lake and Dam","Lake/Reservoir Release - Total","467","cfs","daily","average","1994-11-22 19:00:00"
