"#DOWNLOAD URL# http://data.usbr.gov/rise/api/result/download?after=1980-12-16&before=2023-03-14&filename=Twin%20Lakes%20Reservoir%20and%20Dam%20Daily%20Lake%2FReservoir%20Release%20-%20Total-cfs%20Time%20Series%20Data%20%281980-12-16%20-%202023-03-14%29&itemId=823&order=ASC&type=csv","","","","","",""
"#DOWNLOAD DATE# 2023-03-16","","","","","",""
"#LOCATION INFORMATION#","","","","","",""
"Location","State","Coordinates (long, lat)","Timezone","Location Type","",""
"Twin Lakes Reservoir and Dam","CO","(-106.3139, 39.0803)","MT","Lake/Reservoir","",""
"","","","","","",""
"#SERIES DATA#","","","","","",""
"Location","Parameter","Result","Units","Timestep","Aggregation","Datetime (UTC)"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","14.7","cfs","daily","average","1980-12-16 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","14.7","cfs","daily","average","1980-12-17 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-18 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-19 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-20 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-21 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-22 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-23 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-24 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-25 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-26 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-27 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-28 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-29 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-30 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1980-12-31 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1981-01-01 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1981-01-02 19:00:00"
"Twin Lakes Reservoir and Dam","Lake/Reservoir Release - Total","15","cfs","daily","average","1981-01-03 19:00:00"
