"","Date","Gunnison","Colorado","South Platte","Yampa, White & N. Platte","Arkansas","Rio Grande","San Juan, Animas, Dolores & San Miguel"
"1",1981-06-01,-1.4,-1,2,-2,0,-1.5,-1.3
"2",1981-07-01,-2.7,-2.6,1.4,-2.1,0.1,-1.3,-0.9
"3",1981-08-01,-2.5,-2.8,-2.1,-1.9,-0.8,-2.2,-0.9
"4",1981-09-01,-3.2,-2.6,-1.7,-3.3,0.1,-2,-1.6
"5",1981-10-01,-2.3,-0.7,-1.9,-2.6,1.8,0.1,0.1
"6",1981-11-01,-1.1,-1.3,0.5,-1.7,0.8,2.6,1.9
"7",1981-12-01,0.5,-0.2,-1.5,0,0.8,-1.2,0.3
"8",1982-01-01,1.3,1.6,0.1,3.6,1.3,0.8,-0.8
"9",1982-02-01,2,2,1.8,3.2,2,0.97,1.3
"10",1982-03-01,1.2,0.7,-0.3,1.1,1,0.9,1
"11",1982-04-01,2,0.8,-0.5,2,0.9,2.4,2.2
"12",1982-05-01,1.8,0.4,-1,1.6,0.7,1.9,1.8
"13",1982-06-01,-0.8,-1.6,0.7,0.4,-0.7,-1.4,-0.2
"14",1982-07-01,0.4,0.1,0.4,1.5,0.1,3.3,0.7
"15",1982-08-01,-0.5,1.6,1.6,3,1.4,1.2,1.9
"16",1982-09-01,2,2.7,2.1,2.4,2.8,2.2,3.8
"17",1982-10-01,2.5,3.7,2.6,2.4,3.5,3.9,3.3
"18",1982-11-01,1.1,2.9,2.3,2.5,3.1,3.2,2.2
"19",1982-12-01,2.4,1.2,0.1,1.6,-0.5,1.4,2.6
"20",1983-01-01,0.7,0.7,1,0.2,-1.5,1.4,1.6
"21",1983-02-01,-1.4,-1.2,0.2,-1.8,-2.1,0.3,0.3
"22",1983-03-01,-1.5,-1.5,-0.5,-2.4,-2.5,-0.1,0.2
"23",1983-04-01,2,0.2,1.3,-0.5,-1.1,1.4,1.8
"24",1983-05-01,1.8,1.5,1.6,0.3,0,2,2
"25",1983-06-01,1.8,-0.5,2.4,-2.2,0.2,-2.5,0.5
"26",1983-07-01,3.3,3.1,3,3.5,3.2,2.4,2.7
"27",1983-08-01,3,3.8,3.2,4,3.5,2.5,3.5
"28",1983-09-01,3.5,4,3.6,3.6,3.6,1.8,3.2
"29",1983-10-01,2.3,3.6,3.4,1.4,1.7,-0.1,2.9
"30",1983-11-01,2,2.9,3,2.6,2.3,1.4,1.5
"31",1983-12-01,2.9,2.8,3.2,3.5,2.5,1.3,1.9
"32",1984-01-01,3.9,4,3.8,4.1,4.1,4.1,4
"33",1984-02-01,3.5,3.4,3.5,3.7,2.4,2.6,2.8
"34",1984-03-01,3.2,2.7,3.2,2.5,1.8,1.95,2.4
"35",1984-04-01,2.8,3,3.3,2.7,2.4,1.5,2
"36",1984-05-01,2.7,2.7,3.2,3.5,2.7,1.8,1.1
"37",1984-06-01,3.4,3.8,3.1,3.5,3,2.5,3.5
"38",1984-07-01,3.8,3.5,3.3,3.7,3.6,1.3,1.4
"39",1984-08-01,3.6,3.4,3.3,3.8,3.4,1.7,2
"40",1984-09-01,3.6,4,3.8,3.8,2.1,1.8,3.3
"41",1984-10-01,2.9,3.9,3.6,3.7,3.4,1.9,2.1
"42",1984-11-01,3.5,4,4,3.7,3.3,2.5,2.7
"43",1984-12-01,3.2,2,2.2,2.4,1.2,2.5,3.2
"44",1985-01-01,3.2,2.6,2.7,1.9,3,2.9,2.8
"45",1985-02-01,1.4,1,2.5,0.3,1.6,2.3,2
"46",1985-03-01,0.2,-0.7,1.6,-1.7,-0.6,2,1.3
"47",1985-04-01,1.9,-0.3,1.6,-1.2,0.4,2.9,2.1
"48",1985-05-01,2.2,0.7,1.7,-1.1,0.8,2.8,2.2
"49",1985-06-01,2.3,3.2,3.4,3.2,3.9,3,2.7
"50",1985-07-01,2.8,2,3.1,2.5,3.2,2.7,2.4
"51",1985-08-01,2.5,1.7,3.4,2.3,2.6,2.7,2.4
"52",1985-09-01,1.4,1.7,2.9,1.7,0.3,1.8,0.9
"53",1985-10-01,2.4,2.5,3.8,2.1,2.4,2.9,3.4
"54",1985-11-01,3.2,3.7,3.6,3.7,2.3,3.2,3
"55",1985-12-01,2.8,3.5,2.2,3.8,3.3,1.8,2.1
"56",1986-01-01,2.7,3.6,2.9,3.8,2.2,2,1.6
"57",1986-02-01,0.5,2.1,2.3,1.3,0.3,-0.1,-0.3
"58",1986-03-01,1.9,3,3.2,2.7,2.2,0,0.6
"59",1986-04-01,0.8,1.6,2.5,2.6,0.7,0.8,0.8
"60",1986-05-01,1.1,1.9,2.6,1.3,0.8,1.9,1.8
"61",1986-06-01,2.1,1.1,2.9,2.4,2.5,2.2,2.2
"62",1986-07-01,3.3,1.2,3.6,1.9,3.3,3,2.2
"63",1986-08-01,3.1,1.9,3.3,3,2.1,2.1,3
"64",1986-09-01,1.9,2.1,3.4,2.7,3.1,2.4,1.5
"65",1986-10-01,2.7,3.6,3.4,3.5,2.7,3.3,3.4
"66",1986-11-01,3,3.9,3.6,3.7,2.6,3.3,3.3
"67",1986-12-01,2.1,2.2,2.6,3.5,3.1,2.1,1.7
"68",1987-01-01,1.5,0,2.1,-2.2,1.2,1.2,1
"69",1987-02-01,0.6,-1.1,2,-2.5,0.5,1.2,0.9
