"","basin","report_year","report_month","swsi","nep","swsi_previous_month","change_from_previous_month","swsi_previous_year","change_from_previous_year"
"1","Arkansas",2010,10,1.76,71.16,1.55,0.21,1.14,0.62
"2","Colorado",2010,10,1.58,69,1.55,0.03,1.14,0.44
"3","Gunnison",2010,10,-1.42,32.98,0.52,-1.94,-0.31,-1.11
"4","Rio Grande",2010,10,-0.68,41.9,-0.73,0.04,1.35,-2.03
"5","San Juan-Dolores",2010,10,1.58,68.95,1.76,-0.18,0.52,1.06
"6","South Platte",2010,10,2.74,82.93,2.8,-0.05,3.01,-0.27
"7","Yampa-White",2010,10,0.01,50.14,1.14,-1.13,2.18,-2.17
"8","Arkansas",2010,11,1.35,66.22,1.76,-0.41,1.55,-0.2
"9","Colorado",2010,11,0.59,57.1,1.58,-0.99,0.31,0.28
"10","Gunnison",2010,11,-1.71,29.5,-1.42,-0.29,-0.73,-0.98
"11","Rio Grande",2010,11,-0.27,46.73,-0.68,0.41,1.14,-1.41
"12","San Juan-Dolores",2010,11,1.37,66.45,1.58,-0.21,0.52,0.85
"13","South Platte",2010,11,1.5,67.96,2.74,-1.24,2.59,-1.09
"14","Yampa-White",2010,11,0,50.01,0.01,-0.01,2.18,-2.18
"15","Arkansas",2010,12,1.16,63.97,1.35,-0.19,1.76,-0.6
"16","Colorado",2010,12,1.59,69.08,0.59,1,1.35,0.24
"17","Gunnison",2010,12,-1.34,33.93,-1.71,0.37,0.93,-2.27
"18","Rio Grande",2010,12,-0.36,45.65,-0.27,-0.09,1.35,-1.71
"19","San Juan-Dolores",2010,12,1.2,64.44,1.37,-0.17,0.52,0.68
"20","South Platte",2010,12,1.81,71.68,1.5,0.31,2.38,-0.57
"21","Yampa-White",2010,12,0,50.04,0,0,2.38,-2.38
"22","Arkansas",2011,1,1.28,65.34,1.16,0.12,0.73,0.55
"23","Colorado",2011,1,2.13,75.61,1.59,0.54,-0.31,2.44
"24","Gunnison",2011,1,2.09,75.07,-1.34,3.43,-0.52,2.61
"25","Rio Grande",2011,1,0.56,56.71,-0.36,0.92,-0.73,1.29
"26","San Juan-Dolores",2011,1,1.4,66.82,1.2,0.2,-0.73,2.13
"27","South Platte",2011,1,2.05,74.59,1.81,0.24,1.55,0.5
"28","Yampa-White",2011,1,2.59,81.03,0,2.59,-0.1,2.69
"29","Arkansas",2011,2,0.92,61.08,1.28,-0.36,0.73,0.19
"30","Colorado",2011,2,2.35,78.14,2.13,0.22,-0.31,2.66
"31","Gunnison",2011,2,1.93,73.17,2.09,-0.16,-0.73,2.66
"32","Rio Grande",2011,2,-0.44,44.76,0.56,-1,-0.73,0.29
"33","San Juan-Dolores",2011,2,0.79,59.46,1.4,-0.61,-0.73,1.52
"34","South Platte",2011,2,2.04,74.51,2.05,0,1.55,0.49
"35","Yampa-White",2011,2,2.5,80.01,2.59,-0.08,-0.1,2.6
"36","Arkansas",2011,3,1.26,65.07,0.92,0.34,0.52,0.74
"37","Colorado",2011,3,2.47,79.69,2.35,0.12,-0.31,2.78
"38","Gunnison",2011,3,2.03,74.41,1.93,0.09,-0.73,2.76
"39","Rio Grande",2011,3,-0.85,39.75,-0.44,-0.41,-0.73,-0.12
"40","San Juan-Dolores",2011,3,0.44,55.26,0.79,-0.35,-0.73,1.17
"41","South Platte",2011,3,2.6,81.24,2.04,0.56,1.55,1.05
"42","Yampa-White",2011,3,2.82,83.79,2.5,0.32,-0.1,2.92
"43","Arkansas",2011,4,1.16,63.97,1.26,-0.1,1.14,0.02
"44","Colorado",2011,4,2.89,84.7,2.47,0.42,-0.31,3.2
"45","Gunnison",2011,4,1.92,73.03,2.03,-0.11,-0.52,2.44
"46","Rio Grande",2011,4,-1.47,32.34,-0.85,-0.62,-0.73,-0.74
"47","San Juan-Dolores",2011,4,-0.61,42.65,0.44,-1.05,-0.73,0.12
