WDID,WDID Account ID,Structure Name,WDID Account Name,Source Code,Source Descr,From WDID,From WDID Account,From Structure,From WDID Account Name,Use Code,Use Descr,Type Code,Type Descr,Group WDID,Group Structure,To WDID,To WDID Account ID,To Structure Name,To WDID Account Name,Description,Water Class,Meas Interval,Aggregation Interval,Date,Amount,Obs Code,Units,Data Status,Modified,
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2022 00:00","1008.21","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2022 00:00","40.21","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2022 00:00","1815.52","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2022 00:00","1870.92","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2022 00:00","2932.41","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2022 00:00","13763.51","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2022 00:00","7025.56","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2022 00:00","781.88","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2022 00:00","0","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2022 00:00","0","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2021 00:00","0","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2021 00:00","0","R","AF","Provisional","01/09/2023 15:11",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2021 00:00","0.19","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2021 00:00","9.09","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2021 00:00","390.22","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2021 00:00","1073.59","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2021 00:00","9356.17","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2021 00:00","10621.64","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2021 00:00","5954.47","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2021 00:00","339.67","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2021 00:00","0","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2021 00:00","0","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2020 00:00","0","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2020 00:00","0","k","AF","Approved","11/24/2021 16:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2020 00:00","0","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2020 00:00","0","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2020 00:00","0","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2020 00:00","757.04","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2020 00:00","87.31","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2020 00:00","5904.28","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2020 00:00","11296.03","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/29/2020 00:00","2613.66","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2020 00:00","590.88","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","12/31/2019 00:00","0","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","11/30/2019 00:00","0","k","AF","Approved","01/08/2021 12:30",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","10/31/2019 00:00","0","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","09/30/2019 00:00","42.25","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","08/31/2019 00:00","2409.69","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","07/31/2019 00:00","13372.76","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","06/30/2019 00:00","27933.63","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","05/31/2019 00:00","14550.96","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","04/30/2019 00:00","11117.52","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","03/31/2019 00:00","589.91","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","02/28/2019 00:00","0","k","AF","Approved","12/09/2019 16:00",
"7704635","","USBR NAVAJO DIVERSION","","","","","","","","","","","","","","","","","","","Total (Diversions)","","Monthly","01/31/2019 00:00","0","k","AF","Approved","12/09/2019 16:00",
